# w_1 w_2 w_3 mu_1 mu_2 mu_3 sigma_1 sigma_2 sigma_3 logL logPrior
5.221773566503553482e-02 3.047692880046335429e-01 6.431405904768084936e-01 -4.714855740929469463e-01 1.222957802382423353e-01 3.697594266972471733e+00 1.189820826927307174e+00 1.644785272296192202e+00 9.456154137020774675e-01 -3.889560656228341031e+03 0.000000000000000000e+00
1.880597130729795285e-01 2.113761269696775025e-01 6.008197874233657254e-01 -4.100923368138022496e-01 1.068187260549562367e+00 3.632886386709119897e+00 1.153648504888244775e+00 2.166369537614203811e+00 9.456114692448319703e-01 -3.889537811522672200e+03 0.000000000000000000e+00
2.702359647225692219e-01 2.083276953660229136e-01 5.221934872103248804e-01 -4.976866718782141930e-01 3.063600399427518717e+00 3.747680985992064340e+00 1.227974713479916824e+00 1.099154289068410062e+00 9.991979013449195923e-01 -3.889494554837182477e+03 0.000000000000000000e+00
3.340222470535462729e-01 1.890908179867697991e-01 4.774895866912769460e-01 -1.326016596400020342e-01 2.952998123813708187e+00 3.766911871083794772e+00 1.508563593203144260e+00 1.183384998145134759e+00 9.666244196629708574e-01 -3.889486348459263354e+03 0.000000000000000000e+00
1.871467755966000901e-01 2.674541947783973250e-01 5.454242204516528414e-01 -9.181287749736674053e-01 2.301302361611247349e+00 3.617263963721339959e+00 1.253230477895080019e+00 1.788833821113249956e+00 9.421432951874031403e-01 -3.889442909898728885e+03 0.000000000000000000e+00
2.835964597258076036e-01 4.050742125580306108e-02 6.760325735552139559e-01 -1.430362870222163241e-01 5.753947188944613655e-01 3.541211925112049741e+00 1.395914522252074130e+00 1.631580995138654400e+00 9.139802073644170965e-01 -3.889399091467235849e+03 0.000000000000000000e+00
4.690826245644009844e-03 3.265673901449073213e-01 6.696858234104415830e-01 -2.837023721735306703e-01 -1.796454070476966036e-01 3.554606208201975814e+00 4.037563237097980817e+00 1.599642962735374097e+00 9.631325551721019451e-01 -3.889370672348221888e+03 0.000000000000000000e+00
1.242933381832272699e-01 4.458431973195049469e-01 4.304322370397832831e-01 -1.237767906623036263e+00 1.960867504676828466e+00 3.824997685124393865e+00 1.019553607708602261e+00 1.837143084144997385e+00 7.103834192059661490e-01 -3.889370187895101481e+03 0.000000000000000000e+00
3.228323201959815147e-01 6.214368893288675366e-01 5.576556251003144532e-02 -1.619128535930041968e-01 3.518800336660809602e+00 4.242056591932237275e+00 1.362245381429212365e+00 1.023838351971538163e+00 1.055297254568420273e+00 -3.889363798745127497e+03 0.000000000000000000e+00
2.574132276286207333e-01 2.665440777172145004e-01 4.766667267193916979e-01 -5.876108626283913505e-01 2.284470996664726972e+00 3.765175957400034079e+00 1.434798276572842424e+00 1.480480896744999830e+00 8.873437024280644847e-01 -3.889323421964058070e+03 0.000000000000000000e+00
8.257244092176478645e-02 4.198844435463004454e-01 4.971076133351254311e-01 -9.722383273376840052e-01 1.438264871550627211e+00 3.693110998664803191e+00 7.738501526299271793e-01 1.981870040795128407e+00 8.743201256715571468e-01 -3.889248635670081057e+03 0.000000000000000000e+00
8.376581908997088322e-02 2.820436046213071202e-01 6.343511212275007027e-01 -1.215888832563102984e+00 4.641220753220375306e-01 3.580534202467713367e+00 1.180469646999553701e+00 1.335878659824990322e+00 9.007872394320524112e-01 -3.889236134331064932e+03 0.000000000000000000e+00
2.933792897075280237e-01 9.189316643429408515e-02 6.156762349632995956e-01 -2.379125206639650103e-01 1.689377010896703668e+00 3.634807993304423501e+00 1.260030346918262101e+00 1.840505480029437591e+00 9.458735320823418169e-01 -3.889219420615394483e+03 0.000000000000000000e+00
3.191068676797217396e-01 4.690011421234960842e-01 2.123891816405082678e-01 -2.683594724884256211e-01 3.427625951606408705e+00 3.786325371923950023e+00 1.349000133795544398e+00 1.238567194623590106e+00 6.110210353579625941e-01 -3.889201012859409730e+03 0.000000000000000000e+00
3.346865055574723691e-01 2.080589442294598079e-01 4.562933499474656762e-01 2.237022259951806924e-02 3.507465605239092898e+00 3.708976337939216439e+00 1.559717152404222151e+00 1.067090819977918992e+00 9.051118199532235398e-01 -3.889169856936861834e+03 0.000000000000000000e+00
3.000322419247599126e-01 1.465883604741987090e-01 5.532224916499913769e-01 -1.736570975144392515e-01 2.854370713137019067e+00 3.656790941386399041e+00 1.465253911754981653e+00 9.548695488938895304e-01 1.013536419770158181e+00 -3.889163421188212396e+03 0.000000000000000000e+00
3.868787379270819393e-01 3.176444808835117862e-04 6.137845010091305120e-01 9.303512444230961631e-02 1.254804468780737148e+00 3.628504954028980656e+00 1.667326153264967470e+00 4.892008941532513866e+00 9.687469272892557104e-01 -3.889116977004617183e+03 0.000000000000000000e+00
1.877062439803671434e-01 2.772368998539813667e-01 5.351817746388073394e-01 -1.021176195047631241e+00 1.350265261679895357e+00 3.679362221487111562e+00 1.165026637701792378e+00 1.635847372989673643e+00 9.049688248480621811e-01 -3.889087343677388162e+03 0.000000000000000000e+00
1.409423394393578277e-01 2.780851646547591316e-01 5.803211597616914075e-01 -7.278813952586220548e-01 1.322875937530839430e+00 3.664883237858690634e+00 1.224274062547216824e+00 1.576876741490416345e+00 9.376756319536809769e-01 -3.889063453814068907e+03 0.000000000000000000e+00
2.123477568490667045e-01 1.517209190899838633e-01 6.365385812261891152e-01 -1.026948587324385320e+00 1.292162944504043454e+00 3.570952763050067258e+00 1.077981788873796587e+00 1.607107009467015013e+00 1.005980065152116021e+00 -3.889047033350090715e+03 0.000000000000000000e+00
1.421562463813523525e-01 1.519275556121003068e-01 7.055640973669978777e-01 -4.656460058117615208e-01 -2.896713105321260251e-01 3.498995748141921158e+00 1.557487073664536981e+00 1.081589030363555803e+00 1.021851874517158754e+00 -3.889031813846434488e+03 0.000000000000000000e+00
8.142449146064795196e-04 3.640049835187497140e-01 6.350482251659663735e-01 -1.516630955980557971e-02 1.492970860217326390e-01 3.634916660749714978e+00 4.310088986941583045e+00 1.564840755785912751e+00 9.748976675854381657e-01 -3.889010335953000322e+03 0.000000000000000000e+00
7.764977272940698505e-02 2.742818789931633638e-01 6.473871767832872770e-01 -1.703517530241658529e+00 3.673458289021278023e-01 3.668374801325547718e+00 9.480731836551545832e-01 1.199064819774667612e+00 9.178957915828206415e-01 -3.888982226025524596e+03 0.000000000000000000e+00
2.689400759739565272e-01 1.547349344972697993e-01 5.772199202624216374e-01 -2.499112328713691267e-01 2.002076010752964486e+00 3.675427706928986016e+00 1.374160774459550760e+00 1.869412725853571322e+00 9.682207292313874669e-01 -3.888963380721139401e+03 0.000000000000000000e+00
2.024421245280899530e-03 3.139947719381831481e-01 6.847388296269290020e-01 -1.103050865231062438e+00 -3.232828679402233174e-01 3.606689018744387631e+00 2.692381471431024131e+00 1.298016972965796212e+00 1.016364601203765039e+00 -3.888927236089668440e+03 0.000000000000000000e+00
1.282284146240046108e-01 1.721565994336093086e-01 6.986631077495870645e-01 -1.695794329702787484e-01 -1.403548639159256650e-01 3.498911157049425125e+00 1.521074913081805091e+00 1.417042821733029312e+00 9.936821888190321417e-01 -3.888874800479770784e+03 0.000000000000000000e+00
3.112922895148431124e-01 2.293594517689434009e-01 4.597882582241200056e-01 -1.631713634015139747e-01 3.421667340544674474e+00 3.651001225773623737e+00 1.429915103840619039e+00 8.234849500931874511e-01 9.480509967288719420e-01 -3.888865322199103502e+03 0.000000000000000000e+00
2.261299178903461715e-01 1.281588126896286151e-01 6.454032768406249287e-01 -7.679126082816127852e-01 1.588508035573271471e+00 3.661851083545975882e+00 1.214855161413367357e+00 1.154307963786543434e+00 1.036915143543939877e+00 -3.888863660240974696e+03 0.000000000000000000e+00
1.272211920205356707e-02 3.323802415668153931e-01 6.555488590667227777e-01 -5.502575225272918757e-01 -1.674149787286662583e-01 3.560369431291596332e+00 3.583882218993242663e+00 1.449814970605374009e+00 9.890288197425231020e-01 -3.888861364821778807e+03 0.000000000000000000e+00
5.920454794442829571e-02 2.492853785397360633e-01 6.922481056440440428e-01 -7.195501541179345484e-01 -2.887881173944201740e-01 3.511267901964598259e+00 1.736733187476624973e+00 1.335294799443364377e+00 1.062918612385296724e+00 -3.888855245441582156e+03 0.000000000000000000e+00
2.993602406983851827e-01 1.647537210958848197e-01 5.365956149243495954e-01 -3.806442377563283297e-01 2.336348357458961189e+00 3.689537130173194068e+00 1.262115979920808595e+00 1.261169287894252644e+00 9.766624501751927090e-01 -3.888840788026788687e+03 0.000000000000000000e+00
3.770512900761789910e-01 6.102738165322197927e-01 1.357118107979521371e-02 1.908511313814403032e-01 3.595512875774476313e+00 4.492038905870213483e+00 1.674686261022342970e+00 9.794053585106416993e-01 2.907546803088416065e-01 -3.888825606186869209e+03 0.000000000000000000e+00
