# w_1 w_2 mu_1 mu_2 sigma_1 sigma_2 logL logPrior
3.970310443354158059e-01 6.029689556645841941e-01 4.413733825633519015e-01 3.669812714954351573e+00 2.582373773219952540e+00 1.322616424846757344e+00 -4.562536813209850152e+03 0.000000000000000000e+00
3.110823990382483584e-01 6.889176009617515861e-01 -2.178273637949164898e-01 3.483870923016321175e+00 2.221148653830468334e+00 1.359761868105041849e+00 -4.562535598071579443e+03 0.000000000000000000e+00
6.810383147884229160e-01 3.189616852115770840e-01 3.468541369241882943e+00 -3.460664722616601519e-01 1.417957120082917966e+00 1.681878024196591825e+00 -4.562496203948096081e+03 0.000000000000000000e+00
3.227664393013945365e-01 6.772335606986055190e-01 -6.189989076741730933e-03 3.636749077959132492e+00 2.010924133560279436e+00 1.264394817863646159e+00 -4.562362673335634099e+03 0.000000000000000000e+00
3.157251333345255651e-01 6.842748666654743239e-01 -9.417271453608372367e-02 3.650257756211278792e+00 2.270124541612705826e+00 1.392237546813496429e+00 -4.562279590748164992e+03 0.000000000000000000e+00
3.575529888475519891e-01 6.424470111524479554e-01 3.117457508304041225e-01 3.696451681180337179e+00 2.380240443877280843e+00 1.323729102908408395e+00 -4.562274599017378932e+03 0.000000000000000000e+00
2.928463820421076669e-01 7.071536179578923331e-01 -4.094563649218006529e-01 3.513509515165186059e+00 1.630875977413990485e+00 1.501314202055487268e+00 -4.562177229260577406e+03 0.000000000000000000e+00
6.975519074441907108e-01 3.024480925558092892e-01 3.545121487098345625e+00 -3.690518883934003069e-01 1.430856075743812683e+00 2.194265928794972176e+00 -4.562171119377749164e+03 0.000000000000000000e+00
3.557390436772652764e-01 6.442609563227348346e-01 -1.921025831212430646e-02 3.676205469111507806e+00 2.257411648359674672e+00 1.249732422897936068e+00 -4.562134595422878192e+03 0.000000000000000000e+00
3.536737816391999911e-01 6.463262183608000644e-01 -2.879193262108108442e-01 3.576504578061793449e+00 2.173482793341097175e+00 1.349211138301329438e+00 -4.561993398293107020e+03 0.000000000000000000e+00
3.295173819382318792e-01 6.704826180617681208e-01 -3.230433553505861477e-01 3.604508199461434081e+00 1.799352511145717370e+00 1.431371653027988966e+00 -4.561970216493543376e+03 0.000000000000000000e+00
2.965171450953986154e-01 7.034828549046013846e-01 -4.702074313816502205e-01 3.549575208895519474e+00 1.938810085032024233e+00 1.355838092089971081e+00 -4.561919610725971324e+03 0.000000000000000000e+00
2.589601672770133756e-01 7.410398327229866799e-01 -3.996709028071079306e-01 3.438585433407213898e+00 1.842314251604307840e+00 1.563507670719994636e+00 -4.561837138795446663e+03 0.000000000000000000e+00
3.440814436350915217e-01 6.559185563649084783e-01 -3.302628372393653922e-02 3.599726687470583553e+00 2.069361676533967742e+00 1.483903431810163154e+00 -4.561782832827368111e+03 0.000000000000000000e+00
3.839666219467648967e-01 6.160333780532351033e-01 1.629615394934268435e-01 3.572786607324220043e+00 2.306956017815681825e+00 1.285859815544594609e+00 -4.561781956846571120e+03 0.000000000000000000e+00
2.930107049752840864e-01 7.069892950247158581e-01 -5.682446166002904642e-01 3.385256487355529309e+00 1.745468527126956992e+00 1.497907678880530558e+00 -4.561706743729469963e+03 0.000000000000000000e+00
6.667155625683173215e-01 3.332844374316827341e-01 3.666245964956656778e+00 -1.475581810733876120e-01 1.335200832639932056e+00 1.910500284079062139e+00 -4.561700044134670861e+03 0.000000000000000000e+00
3.384415277539559730e-01 6.615584722460441380e-01 -5.852093637928668102e-02 3.549162421678158097e+00 2.035536929499378811e+00 1.500054548865749959e+00 -4.561699593381955310e+03 0.000000000000000000e+00
6.265825973516557790e-01 3.734174026483442210e-01 3.539471837931724707e+00 5.903265765389065223e-02 1.331327286198902948e+00 2.123275308619689827e+00 -4.561584506381492247e+03 0.000000000000000000e+00
3.334541798223748521e-01 6.665458201776252034e-01 -2.950474042834111410e-01 3.589458072817365952e+00 2.129540162641453183e+00 1.305432328291859179e+00 -4.561568612225859397e+03 0.000000000000000000e+00
6.386600099874443215e-01 3.613399900125556785e-01 3.636220840585006275e+00 1.295909849603007202e-01 1.437308274398796604e+00 2.224273790588811917e+00 -4.561520983967295251e+03 0.000000000000000000e+00
6.151013043593427376e-01 3.848986956406573179e-01 3.603085995005985254e+00 -6.557877981676132895e-02 1.359663308633768608e+00 2.166529422672516247e+00 -4.561513406568096798e+03 0.000000000000000000e+00
