# w_1 w_2 mu_1 mu_2 sigma_1 sigma_2 logL logPrior
6.933480877726572178e-01 3.066519122273428377e-01 3.581930629881175498e+00 5.158977401078912450e-02 1.422843488116628974e+00 2.030906722256107244e+00 -4.561526209929848847e+03 0.000000000000000000e+00
6.734724719797960946e-01 3.265275280202037944e-01 3.533424528816438759e+00 -2.014755049138885756e-01 1.318255476681053473e+00 1.803127254366272858e+00 -4.561505901808301132e+03 0.000000000000000000e+00
6.507668214589392708e-01 3.492331785410607292e-01 3.560404587328853676e+00 1.596501566730436084e-01 1.376358669864356621e+00 2.072051505534477034e+00 -4.561479875527189506e+03 0.000000000000000000e+00
3.877854023079960744e-01 6.122145976920039256e-01 2.203517112815288892e-01 3.683283866056580536e+00 2.524050907098677410e+00 1.297591265792362947e+00 -4.561456946963156952e+03 0.000000000000000000e+00
2.974439840587237982e-01 7.025560159412762573e-01 -3.250809297749179816e-01 3.548239151341834763e+00 1.853165035583979048e+00 1.311074319012232259e+00 -4.561427796074010075e+03 0.000000000000000000e+00
3.213140118286880176e-01 6.786859881713120934e-01 2.614835542716306693e-02 3.523708227543299376e+00 2.205210527240987428e+00 1.315050447829145819e+00 -4.561402319824798724e+03 0.000000000000000000e+00
3.310526493964448536e-01 6.689473506035552575e-01 5.957950638060408033e-02 3.537592056586403189e+00 2.051584070787186853e+00 1.455547848542832812e+00 -4.561365033227730237e+03 0.000000000000000000e+00
3.208664393971595863e-01 6.791335606028404692e-01 -2.299193706437964169e-01 3.429779929720320197e+00 1.876287018832955678e+00 1.482159679156985987e+00 -4.561310169386750204e+03 0.000000000000000000e+00
3.301587409769975445e-01 6.698412590230024000e-01 -2.407803987192089490e-01 3.626154037424741627e+00 2.045889056250635551e+00 1.285586830455182072e+00 -4.561302119455619504e+03 0.000000000000000000e+00
3.580058446812872663e-01 6.419941553187127337e-01 2.684952228554183251e-01 3.674421470433668180e+00 2.342224312763340421e+00 1.370601520106149662e+00 -4.561239149434063620e+03 0.000000000000000000e+00
3.400184681331516745e-01 6.599815318668483810e-01 -1.416652561153380063e-01 3.618836435312875910e+00 2.078293707579242255e+00 1.256086790864181291e+00 -4.561188299784081210e+03 0.000000000000000000e+00
3.174107862505531896e-01 6.825892137494466994e-01 -7.718965786072080892e-02 3.485927963409829466e+00 1.860537312108575536e+00 1.399270937009642335e+00 -4.561174127238658002e+03 0.000000000000000000e+00
7.168636207406461347e-01 2.831363792593538098e-01 3.469227889948417243e+00 -5.492004956364568979e-01 1.528722640618115580e+00 1.937260862483422663e+00 -4.561170464576735867e+03 0.000000000000000000e+00
2.750253503532223420e-01 7.249746496467776025e-01 -2.555436987463309828e-01 3.534543250448195284e+00 1.965324924941115103e+00 1.515189259058182802e+00 -4.561153049157795976e+03 0.000000000000000000e+00
3.581026468329651102e-01 6.418973531670348898e-01 2.034697186132828073e-01 3.566079500539996783e+00 2.432309844483223404e+00 1.329710787292723628e+00 -4.561131617124410695e+03 0.000000000000000000e+00
3.111210121965818365e-01 6.888789878034182745e-01 -2.065979947953218154e-01 3.425254570042871816e+00 1.851049367270946711e+00 1.462385618593472270e+00 -4.561094362104556240e+03 0.000000000000000000e+00
6.887886422964184518e-01 3.112113577035816037e-01 3.524342196734638666e+00 -1.440067840074502337e-01 1.295489052168614652e+00 2.086441290698008100e+00 -4.561090417236768189e+03 0.000000000000000000e+00
6.723131195917392278e-01 3.276868804082607722e-01 3.666000492123568044e+00 1.077327077187643922e-01 1.297095769048188796e+00 2.145014853840412794e+00 -4.561077696048063444e+03 0.000000000000000000e+00
6.959354880392180087e-01 3.040645119607821023e-01 3.635678954076951186e+00 -1.353075550571435082e-01 1.434546124742467565e+00 1.933966994170731146e+00 -4.561015048397988721e+03 0.000000000000000000e+00
2.964041603261274860e-01 7.035958396738726250e-01 -3.645135251934073506e-01 3.539576477330609983e+00 1.775330974279263785e+00 1.336144706461237508e+00 -4.561000799477174041e+03 0.000000000000000000e+00
2.962633905098974174e-01 7.037366094901026381e-01 -1.138362801857273343e-01 3.603895440683874796e+00 1.867768766297731586e+00 1.410409226584083298e+00 -4.560979718101925755e+03 0.000000000000000000e+00
7.326635324117484194e-01 2.673364675882514696e-01 3.427184780293122124e+00 -2.862434688950783457e-01 1.458950648183098719e+00 1.842332634159089322e+00 -4.560957839542672446e+03 0.000000000000000000e+00
6.345603258316779849e-01 3.654396741683220706e-01 3.617619571494950392e+00 2.850216735661530998e-01 1.389858485506935581e+00 2.357852380581664242e+00 -4.560954722925847818e+03 0.000000000000000000e+00
3.266836967831391880e-01 6.733163032168608675e-01 -2.908597823024759998e-01 3.506226957053347082e+00 1.728923840292546421e+00 1.401967911631445851e+00 -4.560943051322821702e+03 0.000000000000000000e+00
6.566796520386551927e-01 3.433203479613448073e-01 3.525499007072849356e+00 -5.503091461165704468e-03 1.390264495400660216e+00 1.930831639625602225e+00 -4.560904871823633584e+03 0.000000000000000000e+00
6.704980441692056647e-01 3.295019558307942797e-01 3.685235366024914416e+00 6.957528705261584179e-02 1.357423338239825528e+00 2.163939133719379182e+00 -4.560897659749489321e+03 0.000000000000000000e+00
6.314686772387335667e-01 3.685313227612664888e-01 3.707456336131473407e+00 1.528926665388554984e-01 1.256303591500016692e+00 2.244784619571299267e+00 -4.560827869734741398e+03 0.000000000000000000e+00
6.665436338250488868e-01 3.334563661749511687e-01 3.480513137861629858e+00 -1.808057420804716209e-01 1.369516360239092290e+00 2.194356347285821851e+00 -4.560822730162473817e+03 0.000000000000000000e+00
3.080056936692064928e-01 6.919943063307935072e-01 2.877202220727595461e-02 3.523422444677724918e+00 2.204335480739956221e+00 1.375296621322350310e+00 -4.560811301137200644e+03 0.000000000000000000e+00
7.068451984393351317e-01 2.931548015606649238e-01 3.529615523171057312e+00 -3.778957071866537176e-01 1.328481698357914187e+00 1.924463873454005824e+00 -4.560793315916402207e+03 0.000000000000000000e+00
3.504237526483229281e-01 6.495762473516771829e-01 2.161639522182802753e-01 3.680959728647212437e+00 2.274643707497119305e+00 1.364656418627812062e+00 -4.560778991917402891e+03 0.000000000000000000e+00
2.854043253565008431e-01 7.145956746434991569e-01 -4.854922949729807979e-01 3.498812620729602418e+00 1.915005911628959057e+00 1.552849378978923944e+00 -4.560773167436988842e+03 0.000000000000000000e+00
3.469503184960868736e-01 6.530496815039131819e-01 -1.323732131513209453e-01 3.588119358028635908e+00 2.260246790859306909e+00 1.286383518780504165e+00 -4.560730623511650265e+03 0.000000000000000000e+00
2.867017631608764772e-01 7.132982368391235228e-01 -5.402696960568360574e-01 3.391184509924805024e+00 1.685136637429921702e+00 1.483752168673944771e+00 -4.560710361102521347e+03 0.000000000000000000e+00
2.902819746119669753e-01 7.097180253880330802e-01 -5.489505529017786323e-01 3.401793839524188456e+00 1.711992651082355321e+00 1.542925156222685557e+00 -4.560698594572137154e+03 0.000000000000000000e+00
6.993780702813139349e-01 3.006219297186860095e-01 3.490649412416523489e+00 -1.627024255034502098e-01 1.488565577048334143e+00 2.166820070075223814e+00 -4.560679772708853307e+03 0.000000000000000000e+00
7.055874769167027605e-01 2.944125230832972395e-01 3.442685389755562042e+00 -2.051105469092818212e-01 1.432475766333664025e+00 1.797248043358809388e+00 -4.560589912346425990e+03 0.000000000000000000e+00
2.935541168926694144e-01 7.064458831073304745e-01 -5.327199164544400567e-01 3.466598083244743389e+00 1.949288449798788569e+00 1.427126349725542198e+00 -4.560557919450307054e+03 0.000000000000000000e+00
3.754375625234337988e-01 6.245624374765662568e-01 1.017456661682101249e-01 3.548297871434806350e+00 2.210961211137420168e+00 1.358260929081622770e+00 -4.560554412089227299e+03 0.000000000000000000e+00
3.886910905119113080e-01 6.113089094880886920e-01 2.806551382454242072e-01 3.611976696786509233e+00 2.460710488892998704e+00 1.341931911896441676e+00 -4.560549461728884125e+03 0.000000000000000000e+00
3.683898451476065317e-01 6.316101548523934683e-01 2.962443232353215716e-01 3.609723810453075998e+00 2.445730856184285873e+00 1.300480155763805490e+00 -4.560539910518386023e+03 0.000000000000000000e+00
7.093140877495364149e-01 2.906859122504635851e-01 3.432462491537975335e+00 -3.896569971137487931e-01 1.473566678846422562e+00 1.651181754875308716e+00 -4.560527961686391791e+03 0.000000000000000000e+00
