# w_1 mu_1 mu_2 sigma_1 sigma_2 logL logPrior
2.791905103799559029e-01 -2.061859672692419043e-01 3.493546099784733627e+00 1.472201528049396746e+00 1.010925467431253555e+00 -3.883539705825975489e+03 0.000000000000000000e+00
2.907475011214118443e-01 -5.584091825116762609e-01 3.435256700702302268e+00 1.225253929641323847e+00 1.073033384830757608e+00 -3.883469578938751511e+03 0.000000000000000000e+00
3.117255641830024571e-01 -6.482829845632978594e-02 3.505481912394353028e+00 1.434922204924604650e+00 1.051166118554018869e+00 -3.883455648313594793e+03 0.000000000000000000e+00
3.025781928900857509e-01 -2.236624405343218269e-01 3.602757903229375280e+00 1.254444417208212537e+00 1.044193826210836784e+00 -3.883419942999610157e+03 0.000000000000000000e+00
2.903593989162115419e-01 -3.738022110383430463e-01 3.478490044812645454e+00 1.453656617214831748e+00 1.003386288483275157e+00 -3.883376553243650960e+03 0.000000000000000000e+00
3.118776116773059326e-01 -2.974833203100090695e-01 3.482967008447879209e+00 1.464661309778983345e+00 9.640238508494796132e-01 -3.883332184376607074e+03 0.000000000000000000e+00
2.890108231694368257e-01 -8.720916937830926197e-03 3.570558757675382555e+00 1.333006263564668892e+00 9.517490302957589687e-01 -3.883326153597156008e+03 0.000000000000000000e+00
2.928365516507369093e-01 -2.574767906517530514e-01 3.603670021346738306e+00 1.200703077135885977e+00 9.490027379111072303e-01 -3.883323714377701435e+03 0.000000000000000000e+00
3.017366722842588223e-01 3.163030327481111681e-02 3.564551190671690684e+00 1.431748319755272503e+00 1.020566501914540236e+00 -3.883319750295330778e+03 0.000000000000000000e+00
2.746445779136687526e-01 -4.216741950825464991e-01 3.378237072627300996e+00 1.242314722726757914e+00 1.056709338467556547e+00 -3.883318247370482823e+03 0.000000000000000000e+00
2.973041571941791861e-01 -4.866655367723738412e-01 3.527465207841356865e+00 1.294765731410264520e+00 9.575126627706191940e-01 -3.883298735812553787e+03 0.000000000000000000e+00
3.226352239761856588e-01 1.299805904377788757e-01 3.555987227973991249e+00 1.576571695227795278e+00 9.371474115004646555e-01 -3.883272183709104866e+03 0.000000000000000000e+00
2.967442907114071216e-01 -3.277262328755933124e-02 3.543866135711611243e+00 1.403390653076655115e+00 9.180287393769082094e-01 -3.883268048890487989e+03 0.000000000000000000e+00
2.894513750398970964e-01 -4.221105345727693692e-01 3.539950770332908725e+00 1.147858982509947001e+00 9.624155663442065523e-01 -3.883227786541382557e+03 0.000000000000000000e+00
2.891441360484003353e-01 -3.890304918504996490e-01 3.589401757640148460e+00 1.224661511375744194e+00 1.046406621913603008e+00 -3.883219939188211356e+03 0.000000000000000000e+00
3.467757517831759895e-01 1.006111164745232545e-01 3.605730750271079366e+00 1.673181346112816881e+00 9.746106199888276977e-01 -3.883206657989614087e+03 0.000000000000000000e+00
3.144802561599468471e-01 -3.170774797541432988e-01 3.502059254196772997e+00 1.393828113496003329e+00 1.063780711736530327e+00 -3.883205871207611381e+03 0.000000000000000000e+00
