# w_1 mu_1 mu_2 sigma_1 sigma_2 logL logPrior
2.917054939177716744e-01 -3.523099495750505739e-01 3.538539235408013184e+00 1.425782159175285502e+00 1.064755887686912317e+00 -3.884246321884776989e+03 0.000000000000000000e+00
3.835205170033403888e-01 1.892880304578527795e-01 3.652114112790203038e+00 1.520530925697564761e+00 9.562935394270244416e-01 -3.884238812855675860e+03 0.000000000000000000e+00
2.770332247399980297e-01 -4.489445246691941560e-01 3.458933842401944680e+00 1.187285919586679173e+00 9.566748397650148839e-01 -3.884101058327761621e+03 0.000000000000000000e+00
3.845815144594944002e-01 3.866648547261634095e-01 3.682116100954112348e+00 1.597521514413215105e+00 9.018742168038879070e-01 -3.884080397210123010e+03 0.000000000000000000e+00
3.725651603818687096e-01 3.634896961716241326e-02 3.571334118161138438e+00 1.600266069694031845e+00 9.435389171727762703e-01 -3.884028315868300524e+03 0.000000000000000000e+00
3.126792451386695149e-01 3.377714144114693506e-02 3.560531288649444015e+00 1.619776743867332502e+00 9.659287987244270512e-01 -3.883980065945431761e+03 0.000000000000000000e+00
2.637204165693192714e-01 -4.212193211300268580e-01 3.525402699078311830e+00 1.374031997561919738e+00 1.021656740262403273e+00 -3.883926076989236662e+03 0.000000000000000000e+00
3.653453378525812201e-01 2.653654214182246118e-01 3.585257376639483518e+00 1.671538042612827901e+00 9.486963688776525183e-01 -3.883898819725679914e+03 0.000000000000000000e+00
2.489441843448935432e-01 -3.723719735309578005e-01 3.504102124789283401e+00 1.211235094474592211e+00 9.961002541844276026e-01 -3.883896034622891420e+03 0.000000000000000000e+00
2.516826184100368069e-01 -4.413454193887987875e-01 3.395182690231333122e+00 1.239187358241342185e+00 1.060552103465925100e+00 -3.883833089055692653e+03 0.000000000000000000e+00
2.977693446014901268e-01 -1.843199359358861089e-01 3.541079506201453064e+00 1.552343235558637069e+00 9.627226931614548677e-01 -3.883794723545627676e+03 0.000000000000000000e+00
2.858385501995439615e-01 -1.252284612436374012e-01 3.492834307514569137e+00 1.367811759873251320e+00 9.394402191593711482e-01 -3.883778762285093762e+03 0.000000000000000000e+00
3.702576661823822057e-01 1.492397805605787942e-01 3.615525125261141781e+00 1.478534734617052981e+00 8.811141688666555005e-01 -3.883769358096205906e+03 0.000000000000000000e+00
2.790690146267181260e-01 -2.019811706711240884e-01 3.495161471877218151e+00 1.253557468973318212e+00 1.075854312968611337e+00 -3.883764733419715412e+03 0.000000000000000000e+00
2.954693140120410177e-01 -1.223720626430520597e-01 3.542484013869735548e+00 1.205712094526162126e+00 1.018068697486820051e+00 -3.883677387553563676e+03 0.000000000000000000e+00
3.106884694079536935e-01 -4.241358097506378044e-01 3.559623993855794311e+00 1.166251146093604696e+00 1.013022136668755735e+00 -3.883634203360961692e+03 0.000000000000000000e+00
3.245440202654194528e-01 -1.473597316510308342e-02 3.655645528083961260e+00 1.608597259712469141e+00 9.560672642097246543e-01 -3.883631993464561674e+03 0.000000000000000000e+00
3.470360919218719031e-01 -2.018391320501370378e-01 3.627956530371952759e+00 1.506806455308897119e+00 9.738696967106388325e-01 -3.883534076455192917e+03 0.000000000000000000e+00
3.503498908101793097e-01 -2.393642064601760877e-01 3.624567274781393067e+00 1.373438797686020063e+00 9.373677861307985193e-01 -3.883509798989600768e+03 0.000000000000000000e+00
3.847549603988679734e-01 1.630508214621554097e-01 3.623124936353408820e+00 1.546654294399230967e+00 8.950896748678621728e-01 -3.883493765691577664e+03 0.000000000000000000e+00
2.999492589740016535e-01 -4.651336675779581542e-01 3.440748269869563281e+00 1.347960978454678882e+00 1.010420215813636391e+00 -3.883435948527449000e+03 0.000000000000000000e+00
3.353381713085687998e-01 -1.593979781613697189e-01 3.548319982833374908e+00 1.568524858090599494e+00 1.002269630672363299e+00 -3.883406972844079064e+03 0.000000000000000000e+00
3.257068729905176485e-01 -1.492802858218957862e-01 3.679352948357077047e+00 1.474189552678897064e+00 9.545284143300123425e-01 -3.883406072488025984e+03 0.000000000000000000e+00
3.005961407967577825e-01 -9.008543563677127997e-02 3.561276972170155375e+00 1.478818227252409301e+00 9.110735995018744982e-01 -3.883324080240853618e+03 0.000000000000000000e+00
2.490004427830145861e-01 -4.381403366232928809e-01 3.512222118119650904e+00 1.241116359416302162e+00 1.028734008498330965e+00 -3.883243121146525482e+03 0.000000000000000000e+00
